"","tract_name","pop_total","pop_total_25plus","median_household_income","pop_white","pop_black","pop_amerindian","pop_asian","pop_nativehawaii","pop_otherrace","pop_tworaces","pop_hispanic","mhinc_2544ages","mhinc_4465ages","fips_state_code","fips_county_code","tract","mhinc","pct_popam","pct_popas","pct_pophi","pct_popbl","pct_popwh","pct_pophp","pct_poptr","pct_popothr","pocrace","race_brks_nonwhiteasian","inc_brks"
"10883","Census Tract 3861, Middlesex County, Massachusetts",4302,2832,170872,3845,16,0,178,0,9,129,125,172216,243125,25,17,"386100",415341,0,4.1,2.9,0.4,89.4,0,3,0.2,3.3,"0-19%","$200k+"
"10884","Census Tract 3125.01, Middlesex County, Massachusetts",4619,3168,85536,3354,113,0,326,0,0,73,753,90509,88750,25,17,"312501",179259,0,7.1,16.3,2.4,72.6,0,1.6,0,18.7,"0-19%","$150-199k"
"10885","Census Tract 3151, Middlesex County, Massachusetts",6254,4285,100774,5446,316,0,256,0,66,54,116,118672,109107,25,17,"315100",227779,0,4.1,1.9,5.1,87.1,0,0.9,1.1,7,"0-19%","$200k+"
"10886","Census Tract 3155, Middlesex County, Massachusetts",7726,5468,89320,7488,0,0,118,0,64,21,35,127723,108826,25,17,"315500",236549,0,1.5,0.5,0,96.9,0,0.3,0.8,0.5,"0-19%","$200k+"
"10887","Census Tract 3183, Middlesex County, Massachusetts",8060,5278,156104,6667,0,0,1134,0,0,78,181,193710,168348,25,17,"318300",362058,0,14.1,2.2,0,82.7,0,1,0,2.2,"0-19%","$200k+"
"10888","Census Tract 3271.03, Middlesex County, Massachusetts",3749,2659,86985,3510,0,0,127,0,0,77,35,125139,99783,25,17,"327103",224922,0,3.4,0.9,0,93.6,0,2.1,0,0.9,"0-19%","$200k+"
"10889","Census Tract 3313, Middlesex County, Massachusetts",7367,5157,122255,6611,70,0,345,0,21,132,188,135707,132611,25,17,"331300",268318,0,4.7,2.6,1,89.7,0,1.8,0.3,3.6,"0-19%","$200k+"
"10890","Census Tract 3351, Middlesex County, Massachusetts",5857,4637,90172,5525,80,0,123,0,22,89,18,107938,102292,25,17,"335100",210230,0,2.1,0.3,1.4,94.3,0,1.5,0.4,1.7,"0-19%","$200k+"
"10891","Census Tract 3363, Middlesex County, Massachusetts",6573,4731,114420,5609,62,0,553,0,0,225,124,152292,126625,25,17,"336300",278917,0,8.4,1.9,0.9,85.3,0,3.4,0,2.8,"0-19%","$200k+"
"10892","Census Tract 2104, Essex County, Massachusetts",7247,5285,67757,6112,484,0,108,0,0,0,543,76190,91151,25,9,"210400",167341,0,1.5,7.5,6.7,84.3,0,0,0,14.2,"0-19%","$150-199k"
